end node,URL,attribute_name,attribute_val
Safety Relays,https://www.rechner-sensors.com/en/product/ias-10-a13-a-ptfe-va-stex-atex-5-m,Brand,Rechner Sensors
Safety Relays,https://www.rechner-sensors.com/en/product/ias-10-a13-a-ptfe-va-stex-atex-5-m,Control Voltage,4-Leiter DC
Angle Grinding,https://www.metabo.com/au/en/tools/cutting-sanding-milling/angle-grinder/angle-grinders-o100-150-mm/weq-1400-125-600347190-angle-grinder.html,Brand,Metabo
Angle Grinding,https://www.metabo.com/au/en/tools/cutting-sanding-milling/angle-grinder/angle-grinders-o100-150-mm/weq-1400-125-600347190-angle-grinder.html,Power Rating,Battery pack systems 12 volt
Angle Grinding,https://www.metabo.com/au/en/tools/cutting-sanding-milling/angle-grinder/angle-grinders-o100-150-mm/weq-1400-125-600347190-angle-grinder.html,Voltage Rating,18 Volt class
Safety Relays,https://www.knaufinsulation.co.uk/products/omnifit-roll-40,Brand,ECOSE® Technology
Safety Relays,https://www.masterplastinternational.com/product/mastermax-premium-120/,Brand,MASTERMAX
Safety Relays,https://www.masterplastinternational.com/product/mastermax-premium-120/,Brand,Functional membrane
Hazardous Area Inductive Sensors,https://www.rechner-sensors.com/en/product/ias-10-a13-a-ptfe-va-stex-atex-5-m,Drop Voltage,"IP 67, IP 67"
LED Light Bars,https://www.qlight.com/en/products/?qpcateid=111&prodidx=499&prodcode=QELS,Brand,QELS-200
Wireless IO Modules & Sensors,https://www.advantech.com/en/products/b7e2306f-d561-4ca9-b0e3-33f7057e185f/wise-2410x/mod_ef611e8d-373d-4ebb-a4ab-37981fbce81f,Brand,WISE-2410X
Angle Grinding,https://www.metabo.com/au/en/tools/cutting-sanding-milling/angle-grinder/angle-grinders-o100-150-mm/weq-1400-125-600347190-angle-grinder.html,Power Rating,18 Volt
Angle Grinding,https://www.metabo.com/au/en/tools/cutting-sanding-milling/angle-grinder/angle-grinders-o100-150-mm/weq-1400-125-600347190-angle-grinder.html,Product Type,Semi-stationary tools
Angle Grinding,https://www.metabo.com/au/en/tools/cutting-sanding-milling/angle-grinder/angle-grinders-o100-150-mm/weq-1400-125-600347190-angle-grinder.html,Power Rating,12 volt class
LED Light Bars,https://www.qlight.com/en/products/?qpcateid=111&prodidx=499&prodcode=QELS,Colour Temperature,-30℃ to +50℃
LED Light Bars,https://www.qlight.com/en/products/?qpcateid=111&prodidx=499&prodcode=QELS,Product Type,Removable Brackets with Retractable 
